title,ingredients,notes,region,recipe
Pastel de Nata com Coco,"puff pastry, coconut milk, egg yolks, sugar,flour, cinnamon stick, lemon","gluten, lactose ",All regions,"Preheat the oven to 220°C. In a pot, mix the coconut milk, sugar, flour, cinnamon stick and lemon peel. Cook over low heat, stirring constantly until the mixture thickens. Remove from heat, let it cool and then add the egg yolks. Roll out the puff pastry and cut it into small circles. Place them in muffin tins, and then add the coconut cream mixture. Bake in the oven for about 15 minutes, until the crust is golden brown. Remove from the oven and let them cool before serving."
Vegan Baba de Camelo,"sweetened condensed coconut milk, aquafaba, coconut sugar, water",Vegan,All regions,"In a bowl, mix the sweetened condensed coconut milk with the aquafaba. In another bowl, beat the aquafaba until stiff peaks form. Gradually add the coconut sugar while beating. Fold the aquafaba into the condensed coconut milk mixture. Pour the mixture into a cake pan and cover with foil. Place the pan in a larger pan and add water to the larger pan, until it reaches halfway up the sides of the smaller pan. Bake in the oven at 180°C for about 45 minutes. Remove from the oven and let it cool. Serve chilled. "
Baba de Camelo,"sweetened condensed milk, eggs, sugar, water ","lactose ",All regions,"In a bowl, mix the condensed milk with the egg yolks. In another bowl, beat the egg whites until stiff peaks form. Gradually add the sugar while beating. Fold the egg whites into the condensed milk mixture. Pour the mixture into a cake pan and cover with foil. Place the pan in a larger pan and add water to the larger pan, until it reaches halfway up the sides of the smaller pan. Bake in the oven at 180°C for about 45 minutes. Remove from the oven and let it cool. Serve chilled."
Baba de Camelo Version,"sweetened condensed milk, eggs, milk, sugar, cornstarch","This recipe can be garnished with shaved chocolate or coconut flakes. ",All regions,"Mix all the ingredients in a blender until smooth. Pour the mixture into a pot and cook over medium heat, stirring constantly until it thickens. Remove from heat and pour into a serving dish. Chill in the refrigerator for a few hours before serving."
Baba de Camelo Version,"sweetened condensed milk, eggs, milk, sugar, lemon zest ",This recipe is perfect for those who enjoy a tangy flavor in their desserts.,All regions,"Whisk together the condensed milk, eggs, milk, sugar, and lemon zest in a pot. Cook the mixture over medium heat, stirring constantly until it thickens. Pour the mixture into a serving dish and chill in the refrigerator for a few hours before serving."
Baba de Camelo Version,"sweetened condensed milk, eggs, milk, sugar, coconut flakes","This recipe is perfect for those who love coconut flavor in their desserts. ",All regions,"Combine the condensed milk, eggs, milk, sugar, and coconut flakes in a blender and blend until smooth. Pour the mixture into a pot and cook over medium heat, stirring constantly until it thickens. Pour the mixture into a serving dish and chill in the refrigerator for a few hours before serving."
Aletria with Almonds,"aletria, almond milk, sugar, cinnamon stick,toasted almonds, lemon","Vegan ",All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the almond milk with the cinnamon stick, lemon peel and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and lemon peel, and transfer the aletria to a serving dish. Sprinkle with toasted almonds before serving."
"Aletria with Coconut Milk ","aletria, coconut milk, sugar, cinnamon stick, vanilla pod, coconut ",Vegan,All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the coconut milk with the cinnamon stick, vanilla pod and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and vanilla pod, and transfer the aletria to a serving dish. Sprinkle with shredded coconut before serving."
Aletria with Orange,"aletria, milk, sugar, cinnamon stick, orange, butter ",lactose,All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the milk with the cinnamon stick, orange zest and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and orange zest, and stir in the butter until it melts. Transfer the aletria to a serving dish and let it cool. Cut the orange into small pieces and sprinkle over the top before serving."
Aletria with Pumpkin,"aletria, pumpkin, milk, sugar, cinnamon stick, lemon ","lactose ",All regions,"Peel and chop the pumpkin into small pieces. Cook it in boiling water for about 10 minutes, then drain and mash it. In a pot, heat the milk with the cinnamon stick, lemon peel and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and lemon peel, and stir in the mashed pumpkin. Transfer the aletria to a serving dish and let it cool. "
Aletria with Chocolate,"aletria, milk, sugar, cinnamon stick, dark chocolate, chocolate ",lactose,All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the milk with the cinnamon stick and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and stir in the dark chocolate until it melts. Transfer the aletria to a serving dish and sprinkle with chocolate chips before serving. "
Bolinhos de Bacalhau,"cod, 1kg of potatoes, eggs, onion, garlic, parsley, salt, black pepper, olive oil","Gluten-free ",All regions,"Boil the cod and potatoes separately until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, parsley, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bolinhos de Bacalhau,"cod, potatoes, egg, onion, garlic, breadcrumbs, salt, black pepper, olive oil","gluten ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten egg, breadcrumbs, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown. "
Bolinhos de Bacalhau,"cod, potatoes, eggs, onion, garlic, flour, salt, black pepper, olive oil ","gluten ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, flour, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bolinhos de Bacalhau,"cod, potatoes, eggs, onion, garlic, cornmeal, salt, black pepper, olive oil","Gluten-free ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, cornmeal, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bolinhos de Bacalhau,"cod, potatoes, eggs, onion, garlic, semolina, salt, black pepper, olive oil","gluten ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, semolina, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
