titulo|ingredientes|receita|calorias|cuidados|região
Bacalhau à Brás tradicional|500g de bacalhau desfiado ,  1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Comece por cozinhar as batatas cortadas em palha e reserve. Numa frigideira refogue a cebola e os alhos picados no azeite até dourar. Adicione o bacalhau e mexa por 5 minutos. Junte as batatas fritas e envolva. Por fim bata os ovos numa tigela e adicione ao preparado envolvendo bem. Sirva polvilhado com salsa fresca.
Bacalhau à Brás com natas|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 200ml de natas, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione as natas e envolva bem. Sirva com a salsa fresca.
Bacalhau à Brás com camarão|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 200g de camarão, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione o camarão e mexa por mais 3 minutos. Sirva com salsa fresca.
Bacalhau à Brás com legumes|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 2 cenouras, 1 pimento vermelho, 1 pimento verde, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione as cenouras e os pimentos cortados em tiras e refogue por 5 minutos. Sirva com salsa fresca.
Bacalhau à Brás com couve|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 1 couve portuguesa, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione a couve cortada em juliana e refogue por 5 minutos. Sirva com salsa fresca.
Bacalhau à Brás tradicional|500g de bacalhau desfiado ,  1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Comece por cozinhar as batatas cortadas em palha e reserve. Numa frigideira refogue a cebola e os alhos picados no azeite até dourar. Adicione o bacalhau e mexa por 5 minutos. Junte as batatas fritas e envolva. Por fim bata os ovos numa tigela e adicione ao preparado envolvendo bem. Sirva polvilhado com salsa fresca.|600 a 800 cal|sem restrições|" Lisboa"
Bacalhau à Brás com natas|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 200ml de natas, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione as natas e envolva bem. Sirva com a salsa fresca.|600 a 800 cal|sem restrições|" Lisboa"
Bacalhau à Brás com camarão|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 200g de camarão, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione o camarão e mexa por mais 3 minutos. Sirva com salsa fresca.|600 a 800 cal|sem restrições|" Lisboa"
Bacalhau à Brás com legumes|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 2 cenouras, 1 pimento vermelho, 1 pimento verde, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione as cenouras e os pimentos cortados em tiras e refogue por 5 minutos. Sirva com salsa fresca.|600 a 800 cal|sem restrições|" Lisboa"
Bacalhau à Brás com couve|500g de bacalhau desfiado, 1kg de batatas, 1 cebola média, 3 dentes de alho, 6 ovos, 1 couve portuguesa, Azeite q.b., Salsa q.b., Sal e pimenta q.b.|Prepare o bacalhau da mesma forma que na receita Bacalhau à Brás tradicional. Adicione a couve cortada em juliana e refogue por 5 minutos. Sirva com salsa fresca.|600 a 800 cal|sem restrições|" Lisboa"
"Arroz de Cabidela "|cebola: 100 g, alho:4 dentes, azeite:4 c. de sopa, louro:1 folha, tomate: 400 g, frango do campo:750 g, água:1, sal:1 c. de sopa, arroz carolino:300 g, vinagre:2 c. de sopa, salada:1 embalagem|" Refogue num tacho com azeite a cebola e os dentes de alho picados e a folha de louro.Pele o tomate, limpe-o de grainhas, pique em pedaços pequenos e junte ao refogado. Deixe cozinhar, mexendo de vez em quando até o tomate estar macio. Acrescente o frango cortado em pedaços, tempere com 1 colher de sopa de sal e deixe cozinhar, com o tacho tapado, durante cerca de 10 minutos, sobre lume moderado. Adicione água quente até cobrir o frango, volte a tapar e deixe ferver suavemente durante mais 20 minutos. Acrescente um pouco mais de água a ferver de modo a ficar com cerca de três vezes e meia o volume do arroz. Rectifique o sal, se for necessário, e assim que retomar fervura introduza o arroz. Mexa e tape.Passados 13 minutos, acrescente o sangue, previamente misturado com o vinagre. Misture bem e deixe ferver mais 1 a 2 minutos. Retire do lume e sirva de imediato. Acompanhe com salada."|1500|MINHO|
Arroz de cabidela Alternativa|" arroz carolino:2 copos, frango ou galinha aos pedaços com saco de sangue:1, vinagre:50 ml, vinho tinto  :100 ml, azeite :q.b., cebolas picadas:2 , dentes de alho picados:4, bacon :100 g, folhas de louro:2, malagueta:1 , sal e pimenta :q.b., salsa:q.b."|Antes de começar, prepare todos os ingredientes que irá necessitar para executar este prato, tipicamente português. Pique as duas cebolas, os quatro dentes de alho e a salsa em pedaços bem pequenos. Prepare ainda o frango ou a galinha em pedaços com saco de sangue, o azeite, os 50 ml de vinagre, os 100 ml de vinho tinto, as duas folhas de louro, os dois copos de Arroz Carolino Cigala e a malagueta.Quando o azeite estiver quente, adicione a cebola, o alho e as duas folhas de louro e deixe refogarAssim que a cebola ficar translúcida, pode adicionar o bacon cortado em cubos e deixar cozinhar mais uns minutos.Quando o bacon estiver cozinhado, está na altura de adicionar o frango partido em pedaços ao preparado. Aumente o lume e deixe cozinhar durante 10 minutos. Mexa ocasionalmente, de forma a que o preparado não pegue ao fundo do tacho.De seguida, acrescente a malagueta e envolva bem, para que o picante fique bem distribuído pelo preparado.Tempere com sal a gosto e cubra o frango com água. Envolva e deixe cozer, em lume brando, durante mais 40 minutos, até que o frango comece a ficar tenro.Enquanto o frango cozinha, comece a preparar o molho para usar mais tarde. Num recipiente, junte o sangue com o vinagre e com o vinho tinto. Reserve até ser necessário. Quando o frango estiver cozido, pode adicionar o Arroz Carolino e mais um pouco de água, para cozer bem. Envolva todo o preparado e deixe cozinhar, em lume brando, durante cerca de 12 minutos.Quando o arroz estiver cozido, junte a mistura de sangue preparada anteriormente ao tacho e envolva muito bem. Aguarde que levante a fervura.Para finalizar esta receita deliciosa, polvilhe com salsa picada e sirva de imediato|1500|MINHO|
